


whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo

jzhang@jzhangs-MacBook-Pro tmp2 % whisper '/Users/jzhang/Downloads/慧灯禅修课49 住动觉三要修法（临时版）.mp4' --model turbo
100%|█████████████████████████████████████| 1.51G/1.51G [03:59<00:00, 6.75MiB/s]
[06:33.200 --> 06:34.340] 过程当中呢
[06:34.340 --> 06:34.560] 就是
[06:34.560 --> 06:36.140] 这个禅宗呢
[06:36.140 --> 06:37.100] 他不断的
[06:37.100 --> 06:38.480] 就是要求大家去
[06:38.480 --> 06:39.040] 禅
[06:39.040 --> 06:40.440] 这个花头
[06:40.440 --> 06:42.200] 那么藏传佛教呢
[06:42.200 --> 06:42.780] 观察
[06:42.780 --> 06:43.160] 观察
[06:43.160 --> 06:43.540] 观察
[06:43.540 --> 06:45.360] 观察了以后呢
[06:45.360 --> 06:46.320] 他一方面呢
[06:46.320 --> 06:47.320] 他就不裸空
[06:47.320 --> 06:48.720] 另外一个方面呢
[06:48.720 --> 06:50.160] 他就通过观察
[06:50.160 --> 06:52.300] 然后就在这个当中呢
[06:52.300 --> 06:53.820] 就无了
[06:53.820 --> 06:55.140] 就是这样子啊
[06:55.140 --> 06:57.580] 那么这个就是之前的内容
[06:57.580 --> 06:58.380] 然后呢
[06:58.380 --> 07:00.520] 从这个修法之后
[07:00.520 --> 07:02.920] 我们在这个括号里面有
[07:02.920 --> 07:03.820] 暗筑秀
[07:03.820 --> 07:04.900] 暗筑秀
[07:04.900 --> 07:06.900] 那么这个是不观察的啊
[07:06.900 --> 07:08.540] 后面都是不观察的
[07:08.540 --> 07:10.500] 是这样子
[07:10.500 --> 07:11.200] 这是迈胖
[07:11.200 --> 07:13.260] 这个迈胖仁伯奇啊
[07:13.260 --> 07:15.600] 他的一个非常完整的一个
[07:15.600 --> 07:18.980] 这个大手印的一个修法啊
[07:18.980 --> 07:19.820] 那今天呢
[07:19.820 --> 07:20.120] 那今天呢
[07:20.120 --> 07:20.980] 给大家
[07:20.980 --> 07:21.000] 给大家
[07:21.000 --> 07:22.660] 讲这个修法
[07:22.660 --> 07:27.940] 诸东诀三咬的这个修法啊
[07:27.940 --> 07:31.600] 诸东诀三个都是三个不同的内容
[07:31.600 --> 07:32.720] 这个我们下面会讲
[07:32.720 --> 07:33.980] 首先
[07:33.980 --> 07:37.380] 说若能啊
[07:37.380 --> 07:38.780] 修持大手印
[07:38.780 --> 07:39.880] 者啊
[07:39.880 --> 07:40.940] 大手印的这个
[07:40.940 --> 07:42.740] 这个竹东诀
[07:42.740 --> 07:44.580] 这个三者啊
[07:44.580 --> 07:46.940] 这是大于大手印的
[07:46.940 --> 07:49.040] 特别特别核心的一个
[07:49.040 --> 07:49.880] 呃
[07:49.880 --> 07:51.020] 修法啊
[07:51.020 --> 07:52.260] 大手印的这个
[07:52.260 --> 07:54.600] 非常非常核心的修法
[07:54.600 --> 07:56.060] 呃
[07:56.060 --> 08:00.420] 那么如果我们能够修这个修法的话啊
[08:00.420 --> 08:04.260] 那最终将能够见到法心
[08:04.260 --> 08:05.660] 真谛啊
[08:05.660 --> 08:07.280] 法心真谛是什么
[08:07.280 --> 08:08.020] 法心真谛
[08:08.020 --> 08:10.120] 就是自己的心的本心啊
[08:10.120 --> 08:10.360] 嗯
[08:10.360 --> 08:14.100] 除了自己的心的本心啊
[08:14.100 --> 08:15.720] 以外啊
[08:15.720 --> 08:17.200] 然后就没有什么法心
[08:17.200 --> 08:19.100] 也没有什么真谛啊
[08:19.100 --> 08:20.120] 所谓的
[08:20.120 --> 08:22.120] 法心啊
[08:22.120 --> 08:23.560] 正谛啊
[08:23.560 --> 08:25.400] 都是他知的
[08:25.400 --> 08:27.940] 就是我们自己的心的本心啊
[08:27.940 --> 08:29.320] 我们的心的本心
[08:29.320 --> 08:32.840] 他原来本身是什么样子啊
[08:32.840 --> 08:35.640] 那么这个就是叫做这个法心
[08:35.640 --> 08:37.160] 也叫做真谛啊
[08:37.160 --> 08:40.940] 没有被任何的这个烦恼啊
[08:40.940 --> 08:42.320] 念头啊
[08:42.320 --> 08:44.340] 无染国的啊
[08:44.340 --> 08:46.620] 最原始的啊
[08:46.620 --> 08:51.100] 原有的自然的这个心的本心啊
[08:51.100 --> 08:52.860] 那在禅宗里面呢
[08:52.860 --> 08:55.820] 经常就叫这个本来的面目啊
[08:55.820 --> 08:56.480] 本来面目
[08:56.480 --> 08:59.320] 那么这个就叫做这个法心啊
[08:59.320 --> 09:00.900] 也叫做真谛啊
[09:00.900 --> 09:02.100] 那就是说
[09:02.100 --> 09:06.320] 为什么我们修这个诸东诀啊
[09:06.320 --> 09:10.440] 为什么修这三个就能够看到这个心的本心呢
[09:10.440 --> 09:11.820] 这个原因是什么
[09:11.820 --> 09:11.840] 这个原因是什么
[09:11.840 --> 09:12.900] 理由是什么呢
[09:12.900 --> 09:14.660] 它的原理是什么呢
[09:14.660 --> 09:16.740] 气中的恶要啊
[09:16.740 --> 09:18.300] 它这个最重要的是什么呢
[09:18.300 --> 09:19.360] 就这么两个
[09:19.360 --> 09:20.680] 其一啊
[09:20.680 --> 09:23.040] 这个心的本心呢
[09:23.040 --> 09:24.660] 实际上我们本来就有的
[09:24.660 --> 09:26.320] 每一个人都有的啊
[09:26.320 --> 09:27.320] 心这本心
[09:27.320 --> 09:30.360] 总本来就存在
[09:30.360 --> 09:31.320] 我们的心
[09:31.320 --> 09:32.580] 任何一个
[09:32.580 --> 09:33.100] 比如说
[09:33.100 --> 09:34.980] 再再再糟糕的
[09:34.980 --> 09:35.660] 比如说像
[09:35.660 --> 09:37.320] 杀盗阴汪啊
[09:37.320 --> 09:39.060] 这样子的念头啊
[09:39.060 --> 09:40.160] 探秤赤
[09:40.160 --> 09:40.820] 义漫
[09:40.820 --> 09:42.320] 这样子的念头啊
[09:42.320 --> 09:43.780] 它的这个心是
[09:43.780 --> 09:45.320] 它的表面啊
[09:45.320 --> 09:46.180] 它再糟糕
[09:46.180 --> 09:46.880] 再怎么样
[09:46.880 --> 09:47.660] 但是呢
[09:47.660 --> 09:48.980] 它的本质啊
[09:48.980 --> 09:49.940] 不坏啊
[09:49.940 --> 09:51.760] 本质永远都是光明的
[09:51.760 --> 09:52.780] 本质永远都是
[09:52.780 --> 09:54.560] 永远都离不开
[09:54.560 --> 09:55.980] 这个心的本心
[09:55.980 --> 09:56.920] 所以呢
[09:56.920 --> 09:59.960] 它的这个发心是这个
[09:59.960 --> 10:02.280] 它的本身就是如来藏
[10:02.280 --> 10:03.160] 所以就是说
[10:03.160 --> 10:05.580] 我们每一个人的这个心里
[10:05.580 --> 10:07.960] 存在着啊
[10:07.960 --> 10:09.200] 佛的智慧
[10:09.200 --> 10:10.640] 佛心如来藏
[10:10.640 --> 10:12.040] 佛心如来藏
[10:12.040 --> 10:16.240] 这是第一个原因啊
[10:16.240 --> 10:17.460] 第一个原因啊
[10:17.460 --> 10:17.900] 然后呢
[10:17.900 --> 10:19.040] 第二个原因呢
[10:19.040 --> 10:20.500] 还需要一个这个
[10:20.500 --> 10:22.300] 一个一个诀窍啊
[10:22.300 --> 10:24.200] 通过诀窍啊
[10:24.200 --> 10:24.960] 通过窍诀
[10:24.960 --> 10:26.360] 窃重要颠
[10:26.360 --> 10:26.760] 哎
[10:26.760 --> 10:28.320] 就是就需要这个
[10:28.320 --> 10:31.260] 需要这个非常非常啊
[10:31.260 --> 10:33.220] 这个精尊的啊
[10:33.220 --> 10:34.760] 能够这个啊
[10:34.760 --> 10:36.320] 窃重要颠的
[10:36.320 --> 10:37.640] 这样子的窍诀
[10:37.640 --> 10:39.120] 这就是大圆满
[10:39.120 --> 10:39.820] 大收音
[10:39.820 --> 10:40.900] 禅宗也有
[10:40.900 --> 10:43.100] 就是智之人心啊
[10:43.100 --> 10:45.980] 就从来都就是不走玩路啊
[10:45.980 --> 10:49.780] 直接就把我们的心的本心啊
[10:49.780 --> 10:52.980] 就将它非常非常的投车的
[10:52.980 --> 10:53.260] 哎
[10:53.260 --> 10:54.880] 这样子的这个
[10:54.880 --> 10:56.640] 包括比如说
[10:56.640 --> 10:57.580] 米宗里面的
[10:57.580 --> 10:59.060] 七脉命电的修法呀
[10:59.060 --> 10:59.940] 观想啊
[10:59.940 --> 11:02.020] 各种各样的奔尊的修法啊
[11:02.020 --> 11:04.340] 从大圆满跟大收音的
[11:04.340 --> 11:05.400] 这个角度来讲
[11:05.400 --> 11:07.840] 包括这些都是玩路啊
[11:07.840 --> 11:09.040] 这些都是玩路
[11:09.040 --> 11:10.760] 那么什么是不是玩路
[11:10.760 --> 11:12.640] 什么是最最最啊
[11:12.640 --> 11:13.740] 这个这个这个
[11:13.740 --> 11:14.980] 这个切中要颠的呢
[11:14.980 --> 11:16.580] 那就是直接就是
[11:16.580 --> 11:18.360] 支出我们的心的本心
[11:18.360 --> 11:18.780] 哎
[11:18.780 --> 11:20.220] 那这个就是
[11:20.220 --> 11:21.780] 他的这个窍诀
[11:21.780 --> 11:23.020] 只要有这两个
[11:23.020 --> 11:23.260] 哎
[11:23.260 --> 11:24.360] 只要有这两个
[11:24.360 --> 11:27.120] 那么你一定会看得到心的本心
[11:27.120 --> 11:27.680] 为什么呢
[11:27.680 --> 11:28.360] 第一个呢
[11:28.360 --> 11:31.780] 你的心的本心本来就是这样子的光明的
[11:31.780 --> 11:32.240] 哎
[11:32.240 --> 11:33.180] 第二个呢
[11:33.180 --> 11:36.540] 你现在已经有了一个非常好的窍诀
[11:36.540 --> 11:38.820] 可以直接去感受啊
[11:38.820 --> 11:40.840] 那就这样有有这两个条件
[11:40.840 --> 11:41.360] 那为什么
[11:41.360 --> 11:42.200] 呃
[11:42.200 --> 11:43.820] 捡不到心的本心呢
[11:43.820 --> 11:45.160] 就肯定会捡得到的
[11:45.160 --> 11:45.360] 哎
[11:45.360 --> 11:46.160] 所以呢
[11:46.160 --> 11:48.420] 他的理由是这样子啊
[11:48.420 --> 11:48.820] 啊
[11:48.820 --> 11:51.900] 一切法治根本皆与心啊
[11:51.900 --> 11:52.740] 这个就是我们
[11:52.740 --> 11:55.540] 首先通过文思的时候呢
[11:55.540 --> 11:56.840] 一定要把这个
[11:56.840 --> 11:58.620] 微诗中的这些
[11:58.620 --> 11:59.880] 很多很多的内容
[11:59.880 --> 12:01.100] 一定要好好的学
[12:01.100 --> 12:01.640] 哎
[12:01.640 --> 12:02.840] 这样子以后呢
[12:02.840 --> 12:05.880] 我们就是知道这个万世万万法
[12:05.880 --> 12:07.480] 眼耳鼻色深
[12:07.480 --> 12:09.860] 所看到的任何一个东西
[12:09.860 --> 12:12.100] 看起来表面上啊
[12:12.100 --> 12:13.720] 都是无知
[12:13.720 --> 12:15.060] 都是无知啊
[12:15.060 --> 12:17.460] 但是实际上以观察的时候呢
[12:17.460 --> 12:18.760] 任何一个东西
[12:18.760 --> 12:21.200] 实际上没有一个什么啊
[12:21.200 --> 12:22.040] 物质
[12:22.040 --> 12:25.240] 实际上就是我们自己的眼耳鼻色神
[12:25.240 --> 12:27.720] 他的一个投音啊
[12:27.720 --> 12:31.040] 他的这个投射出去的一个画面啊
[12:31.040 --> 12:32.980] 那么这个知道了以后呢
[12:32.980 --> 12:36.340] 就知道了一切法的根本啊
[12:36.340 --> 12:37.940] 就不在于外面
[12:37.940 --> 12:40.720] 就在于自己的内心当中啊
[12:40.720 --> 12:43.440] 宇宙的核心啊
[12:43.440 --> 12:45.080] 宇宙的核心呢
[12:45.080 --> 12:45.800] 就是
[12:45.800 --> 12:48.020] 就是我们自己的心
[12:48.020 --> 12:49.400] 我们自己的心
[12:49.400 --> 12:53.780] 最近最近就是有
[12:53.780 --> 12:55.800] 有有有有有一个说法呢
[12:55.800 --> 12:58.900] 就叫做这个圣物中心主义啊
[12:58.900 --> 12:59.920] 圣物中心主义
[12:59.920 --> 13:01.340] 圣物中心主义
[13:01.340 --> 13:02.160] 圣物是什么
[13:02.160 --> 13:03.560] 圣物是我们人呢
[13:03.560 --> 13:03.840] 啊
[13:03.840 --> 13:07.800] 那么这个宇宙的这个中心就是人啊
[13:07.800 --> 13:09.680] 宇宙的中心就是人
[13:09.680 --> 13:11.200] 我们之前不就是说
[13:11.200 --> 13:13.580] 这个人就是大自然的一部分吗
[13:13.580 --> 13:14.800] 现在不是啊
[13:14.800 --> 13:17.160] 大自然就是人的一部分
[13:17.160 --> 13:19.700] 大自然就是人投射的一个画面
[13:19.700 --> 13:21.500] 就叫圣物啊
[13:21.500 --> 13:23.060] 人就是圣物啊
[13:23.060 --> 13:25.580] 人当然圣物里面的其中一个
[13:25.580 --> 13:27.380] 然后呢
[13:27.380 --> 13:29.020] 这个实际上比如说
[13:29.020 --> 13:30.540] 任何一个生物
[13:30.540 --> 13:31.640] 一个动物也好
[13:31.640 --> 13:32.780] 一个人也好啊
[13:32.780 --> 13:33.400] 都是生物
[13:33.400 --> 13:34.820] 那么他们呢
[13:34.820 --> 13:36.860] 以他们的焉而彼此生
[13:36.860 --> 13:38.420] 就创造了这个世界
[13:38.420 --> 13:38.800] 所以呢
[13:38.800 --> 13:41.640] 真正的中心是他们啊
[13:41.640 --> 13:42.500] 是人
[13:42.500 --> 13:43.900] 是动物啊
[13:43.900 --> 13:46.700] 这叫做这个圣物中心主义啊
[13:46.700 --> 13:48.460] 就差不多有点点像啊
[13:48.460 --> 13:51.180] 反正这个我们文字的时候呢
[13:51.180 --> 13:52.880] 就得要好好的秀这个
[13:52.880 --> 13:53.960] 为师啊
[13:53.960 --> 13:56.220] 为师中最好啊
[13:56.220 --> 13:57.320] 好好的这个
[13:57.320 --> 13:59.340] 学习这个
[13:59.340 --> 14:00.700] 学习这个
[14:00.700 --> 14:03.160] 中观庄严论啊
[14:03.160 --> 14:04.480] 因为中观庄严论
[14:04.480 --> 14:06.260] 它这个里面的为师啊
[14:06.260 --> 14:08.000] 讲的是非常非常好的
[14:08.000 --> 14:09.580] 然后
[14:09.580 --> 14:11.280] 这样子以后呢
[14:11.280 --> 14:11.920] 我们就知道
[14:11.920 --> 14:12.580] 这个这个是
[14:12.580 --> 14:15.560] 这个是这个我们大作修行之前
[14:15.560 --> 14:17.700] 就要有要有这个见解啊
[14:17.700 --> 14:19.380] 要有这个认知啊
[14:19.380 --> 14:20.720] 要有这个认知
[14:20.720 --> 14:24.600] 十股若能训得啊
[14:24.600 --> 14:26.600] 自新的官耀啊
[14:26.600 --> 14:29.600] 如果我们能够看到我们自己的心的
[14:29.600 --> 14:31.240] 真正的啊
[14:31.240 --> 14:32.640] 它的秘密啊
[14:32.640 --> 14:34.460] 它的官耀啊
[14:34.460 --> 14:36.620] 那么这个时候啊
[14:36.620 --> 14:39.680] 则有了知新的奥秘啊
[14:39.680 --> 14:40.340] 这个时候呢
[14:40.340 --> 14:44.460] 我们就知道了我们心的内心的奥秘啊
[14:44.460 --> 14:45.580] 内心的秘密
[14:45.580 --> 14:47.440] 它的秘密是什么呢
[14:47.440 --> 14:49.000] 比如说表面上啊
[14:49.000 --> 14:50.900] 表面上我们的内心呢
[14:50.900 --> 14:51.640] 它就是
[14:51.640 --> 14:54.140] 就是有各种各样的啊
[14:54.140 --> 14:54.420] 这个
[14:54.420 --> 14:55.620] 这个善恶
[14:55.620 --> 14:57.360] 无极啊
[14:57.360 --> 14:59.560] 好与怀啊
[14:59.560 --> 15:00.440] 等等等等
[15:00.440 --> 15:03.420] 太多太多太多的这个念头啊
[15:03.420 --> 15:05.440] 这个不断的出来了以后呢
[15:05.440 --> 15:08.380] 然后我们人就在这个啊
[15:08.380 --> 15:10.020] 就就被这些
[15:10.020 --> 15:13.340] 这些各种各样的这个念头包裹起来了啊
[15:13.340 --> 15:14.240] 我们就包裹
[15:14.240 --> 15:15.700] 就是就就在这个中
[15:15.700 --> 15:19.560] 就是包括在这个各种的念头的中间啊
[15:19.560 --> 15:21.920] 然后根本就不知道这个啊
[15:21.920 --> 15:25.060] 念头的外面是什么
[15:25.060 --> 15:27.020] 或者是念头的最根本是什么
[15:27.020 --> 15:28.200] 那就是因为我们
[15:28.200 --> 15:31.800] 每天都是这么多的念头出来了以后呢
[15:31.800 --> 15:34.920] 我们被这些念头就包围了
[15:34.920 --> 15:35.580] 包出
[15:35.580 --> 15:37.240] 包在里面啊
[15:37.240 --> 15:38.440] 然后就看不到
[15:38.440 --> 15:39.260] 什么都看不到
[15:39.260 --> 15:40.040] 都是念头
[15:40.040 --> 15:41.640] 但是呢
[15:41.640 --> 15:43.840] 如果看到了它的本性的话
[15:43.840 --> 15:46.520] 那么这个就知道了它的奥秘啊
[15:46.520 --> 15:47.740] 它的它的秘密
[15:47.740 --> 15:48.680] 新的秘密
[15:48.680 --> 15:51.640] 如果我们知道了新的秘密
[15:51.640 --> 15:54.440] 这个在如心论当中也讲得很清楚了
[15:54.440 --> 15:57.300] 只要你知道了内心的奥秘啊
[15:57.300 --> 15:58.880] 世界啊
[15:58.880 --> 16:00.000] 就了解了
[16:00.000 --> 16:02.040] 宇宙就了解了啊
[16:02.040 --> 16:04.860] 如果不知道这个新的秘密
[16:04.860 --> 16:05.540] 然后呢
[16:05.540 --> 16:07.700] 我们就是到这个宇宙啊
[16:07.700 --> 16:11.560] 几百几百个光年之后的某一个地方
[16:11.560 --> 16:12.620] 什么什么什么啊
[16:12.620 --> 16:15.080] 就是这么去了解的话
[16:15.080 --> 16:17.320] 可以增长一些
